"KioskID","System","Borough","ParkDistrict","GISPropNum","OMPPropID","PropertyName","SubPropertyName","Location","Model","Submodel","ContainerSize","Status","InstallationDate","Remove Date","Removal Reason","Status Change Date","Point"
"58","M037-NK-0058","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 179st St and Amsterdam Ave, south side of skate park","Outdoor post Mount","Mailbox/post","2 gallon","Removed","2019 Aug 26 04:00:00 AM","2022 Mar 01 06:58:07 PM","Broken","2024 Jul 11 07:23:27 PM","POINT (-73.92992016755943 40.84646491368734)"
"52","X001A-NK-0052","Bronx","X-05","X001A","X001-ZN01","Aqueduct Walk","Aqueduct Walk Zone 1","Down steps in gulch on south side of Fordham Rd","Outdoor Post Mount","Mailbox/post","2 gallon","Active","2018 Dec 17 05:00:00 AM",,,,"POINT (-73.90406719546834 40.86259899011745)"
"15","X200-NK-0015","Bronx","X-01","X200","X200","Clark Playground","Clark Playground","E 144 St and 3rd Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2024 Jul 01 07:27:02 PM","Restrooms used by playground, school","2024 Jul 11 06:55:23 PM","POINT (-73.92115340275647 40.81394655110299)"
"11","X217-NK-0011","Bronx","X-01","X217","X217","Willis Playground","Willis Playground","E 139 St, E 140 St, Willis and Alexander Aves","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2021 Mar 01 05:00:00 AM","2024 Jul 01 07:29:13 PM","Restrooms near playground","2024 Jul 11 06:53:12 PM","POINT (-73.9227249546996 40.81137295626106)"
"74","M037-NK-0074","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181 St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2021 Aug 27 04:00:00 AM",,,,"POINT (-73.93031213620104 40.84679336265409)"
"35","X047-NK-0099","Bronx","X-04","X047","X047-ZN01","Franz Sigel Park","Franz Sigel Park","West wall of old park house near Walton Ave.","Stainless steel","Post mount","2 gal","Active","2025 Sep 25 06:18:29 PM",,,"2025 Sep 25 06:19:02 PM","POINT (-73.92649566312808 40.82286425345088)"
"22","X010A-NK-0022","Bronx","X-06","X010A","X010A-02","Walter Gladwin Park","Walter Gladwin Park-175th Street Playground","E Tremont Ave and Arthur Ave","Outdoor Wall Mount","Mailbox/wall","1.5 gallon","Removed","2018 Jun 04 04:00:00 AM","2019 Jun 15 04:00:00 AM","Construction","2024 Jul 10 09:02:04 PM","POINT (-73.89465433913621 40.8445084135767)"
"20","X017-NK-0020","Bronx","X-05","X017","X017-02","Richman (Echo) Park","Richman (Echo) Park-Richman (Echo) Park Upper","E Tremont Ave and E Burnside Ave","Indoor Wall Mount","Mailbox/post","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2021 Jan 01 08:43:03 PM","Restroom in playground","2024 Jul 11 07:01:33 PM","POINT (-73.9020835754425 40.84955071344829)"
"35","X047-NK-0101","Bronx","X-04","X047","X047-ZN01","Franz Sigel Park","Franz Sigel Park","Walton Ave and E 153 St","Stainless steel","Wall mount","2 gallon","Active","2025 Sep 26 06:02:23 PM",,,"2025 Sep 26 06:02:42 PM","POINT (-73.92648485406663 40.82273493531268)"
"5","X008-NK-0005","Bronx","X-04","X008","X008-ZN01","Claremont Park","Claremont Park-Claremont Zone 1","Adj. gazebo, near Clay Ave and E 172 St","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.90690057532215 40.84148371529455)"
"50","X045-NK-0050","Bronx","X-01","X045","X045-ZN03","St. Mary's Park","St Mary's Park Zone 3","In the center of the park north of the old tennis courts","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Dec 11 05:00:00 AM","2023 Jan 01 08:31:52 PM","Vandalism","2024 Jul 11 06:52:26 PM","POINT (-73.91192787582443 40.81261451961746)"
"43","X010A-NK-0043","Bronx","X-06","X010A","X010A","Walter Gladwin Park","Walter Gladwin Park","Near top of hill on north slope","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 04:00:00 AM","2022 Jan 01 08:36:32 PM","Damaged",,"POINT (-73.89599128900102 40.84554590346641)"
"73","M037-NK-0073","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181 St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2021 Aug 27 04:00:00 AM",,,,"POINT (-73.9303625273554 40.84741695436631)"
"83","M105-NK-0089","Manhattan","M-03","M105","M105","Sara D. Roosevelt Park","Sara D. Roosevelt Park","Stanton and Chrystie west side of park house","Stainless steel","Post mount","2 gallon","Active","2025 Apr 22 04:54:54 PM",,,"2025 Apr 22 04:55:14 PM","POINT (-73.99134670290033 40.722522414833534)"
"29","X017-NK-0029","Bronx","X-05","X017","X017","Richman (Echo) Park","Richman (Echo) Park","E Tremont Ave and E Burnside Ave","Outdoor Wall Mount","Mailbox/wall","2 gallon","Removed","2018 Aug 19 04:00:00 AM","2019 Jun 15 04:00:00 AM","Construction",,"POINT (-73.90137406660322 40.849305544321076)"
"18","X255-NK-0018","Bronx","X-02","X255","X255","Bill Rainey Park","Bill Rainey Park","Dawson St and Longwood Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.89822609995355 40.818771588983)"
"72","M037-NK-0093","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181st St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2019 Aug 26 04:00:00 AM",,,,"POINT (-73.93048076797544 40.84757071451609)"
"1","X010-NK-0001","Bronx","X-03","X010","X010-ZN08","Crotona Park","Crotona Park-Crotona Zone 8","Crotona Zone 8, SW corner of park","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2023 Jan 01 07:32:00 PM","Non use",,"POINT (-73.89965081828257 40.835630375960704)"
"70","B025-NK-0096","Brooklyn","B-01","B025","B025","Cooper Park","Cooper Park","East of Maspeth Ave. entrance on fence","Stainless Steel","Wall mount","2 gallon","Active","2024 Jan 02 05:31:58 PM",,,"2024 Jan 02 03:46:09 PM","POINT (-73.93726517456803 40.71641328154574)"
"40","X010-NK-0040","Bronx","X-03","X010","X010-ZN10","Crotona Park","Crotona Park-Crotona Zone 10","Crotona Park North and Arthur Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Active","2018 Sep 01 04:00:00 AM",,,,"POINT (-73.89579527037608 40.84278222451273)"
